Species,fc,auroc,p.val,p.adj,cohen.d
Trichosporon asahii,0.138308245,0.682554757,1.52E-17,5.46E-16,0.436332025
Aspergillus aculeatinus,0.140939528,0.64625635,8.47E-12,9.90E-11,0.277702536
Aspergillus heteromorphus,0.111647532,0.594785873,9.57E-06,2.97E-05,0.200361996
Rhodotorula graminis,0.029190603,0.527841843,0.193515541,0.235857403,0.060255734
Macrophomina phaseolina,0.109025571,0.618493646,3.13E-08,1.91E-07,0.247571374
Neocallimastix californiae,0.030648706,0.518978278,0.375450709,0.424999311,-0.031619644
Suillus subaureus,0.105680343,0.561242256,0.004231279,0.007112945,-0.002382471
Pyricularia grisea,0.361320256,0.619839009,1.99E-08,1.23E-07,0.11992937
Peniophora sp. CONT,0.363135567,0.631604335,6.96E-10,5.51E-09,0.3208137
Pneumocystis jirovecii,0.110155906,0.535118859,0.09718832,0.125762744,-0.018526314
Ceraceosorus bombacis,0.074302909,0.559388143,0.005543264,0.009106791,0.125326088
Saprochaete ingens,0.180004616,0.701872202,4.19E-21,3.74E-19,0.61279284
Aspergillus glaucus,0.162820576,0.611001824,2.17E-07,1.04E-06,0.231076209
Trichoderma guizhouense,0.205295668,0.637358869,1.41E-10,1.32E-09,0.323704239
Alternaria atra,-0.027233253,0.454408417,0.033238763,0.047493463,-0.230829431
Spathaspora passalidarum,0.385340306,0.611691464,1.54E-07,7.70E-07,0.038485658
Scleroderma citrinum,0.180992425,0.564460574,0.002588674,0.004557345,-0.035339951
Puccinia striiformis,0.100562008,0.570840682,0.000938302,0.00185836,0.081507681
Glarea lozoyensis,0.519815184,0.643256606,2.04E-11,2.13E-10,0.188562548
Botrytis fragariae,0.26971784,0.599877146,2.89E-06,1.03E-05,0.152632043
Sphaerulina musiva,0.117524528,0.528904566,0.174394921,0.214385481,0.040925806
Ceraceosorus guamensis,0.275812032,0.625322209,4.81E-09,3.23E-08,0.044654878
Tolypocladium paradoxum,0.101579794,0.606581347,6.44E-07,2.77E-06,0.183882952
Pseudogymnoascus sp. VKM F-103,0.056523989,0.517855259,0.177202436,0.216715844,0.163851709
