Ascomycota,Basidiomycota,Chytridiomycota,Cryptomycota,Microsporidia,Mucoromycota,Zoopagomycota,B_A_ratio,group
76.55,18.7,0.425,0.075,1.475,2.275,0.5,0.244284781,favor-type
74.9,20.025,0.7,0.025,1.4,2.125,0.825,0.267356475,favor-type
71.2,24.35,1.05,0,1.55,1.45,0.4,0.341994382,favor-type
73.475,21.625,0.375,0.175,1.25,1.65,1.45,0.294317795,favor-type
77.8,16.6,0.75,0.05,1.8,2.3,0.7,0.213367609,unfavor-type
80,16.1,0.325,0.075,1.15,1.325,1.025,0.20125,unfavor-type
75.825,19.175,1,0.125,1.725,1.6,0.55,0.252884932,favor-type
75.55,18.5,0.475,0.025,2.275,2.15,1.025,0.244870946,unfavor-type
76.325,17.8,1.15,0.125,1.675,2.15,0.775,0.233213233,favor-type
76.25,16.075,0.85,0,2.45,3,1.375,0.210819672,unfavor-type
84.05,11.45,0.25,0.025,1.25,2.625,0.35,0.136228435,unfavor-type
75.775,19.7,0.225,0,2.05,1.85,0.4,0.259980205,favor-type
76.125,19.5,0.375,0.05,1.225,1.775,0.95,0.256157635,favor-type
75.3,18.675,0.975,0.2,1.75,2.45,0.65,0.248007968,favor-type
75.65,18.8,0.95,0.025,1.55,1.95,1.075,0.248512888,favor-type
75.375,19.6,0.8,0.15,1.975,1.375,0.725,0.260033167,favor-type
81.35,13.1,0.65,0.05,2.45,1.825,0.575,0.161032575,unfavor-type
77.375,18.1,0.25,0,1.85,1.75,0.675,0.233925687,favor-type
72.7,23.725,0.5,0.025,0.45,1.375,1.225,0.326341128,favor-type
80.1,15.475,0.125,0.025,1.4,2.275,0.6,0.193196005,unfavor-type
70.75,21.725,0.7,0.05,3.675,2.425,0.675,0.307067138,unfavor-type
73.925,21.7,0.3,0.025,2.15,1.625,0.275,0.293540751,favor-type
91.4,6.1,0.525,0,0.55,0.9,0.525,0.066739606,unfavor-type
75.2,20.3,1.25,0.075,1,1.05,1.125,0.269946809,unfavor-type
75.175,19.775,0.475,0.1,2.2,1.75,0.525,0.263052877,favor-type
76.85,18.25,0.925,0.125,1.25,1.875,0.725,0.237475602,favor-type
76.3,21.15,0.2,0,0.825,1.075,0.45,0.277195282,unfavor-type
72.7,20.7,0.8,0.15,2.65,2.275,0.725,0.284731774,favor-type
71.125,20.8,0.975,0.1,3.4,2.625,0.975,0.292442882,favor-type
74.6,19.225,0.55,0.05,2.575,2.25,0.75,0.257707775,favor-type
76.75,17.025,0.725,0.025,1.975,2.55,0.95,0.221824104,favor-type
73.6,19.2,1.2,0.025,3.075,2.075,0.825,0.260869565,favor-type
75.6,18.375,0.55,0.05,2,2.95,0.475,0.243055556,favor-type
72.275,22.3,0.875,0.075,1.625,2.55,0.3,0.308543756,unfavor-type
75.75,19.3,1.225,0.1,1.4,1.975,0.25,0.254785479,favor-type
74.125,18.5,0.75,0.125,2.1,3.45,0.95,0.249578415,unfavor-type
71.375,21.4,1.475,0.325,2.45,2.825,0.15,0.299824869,unfavor-type
73.625,19.625,0.95,0.1,2.675,2.25,0.775,0.26655348,favor-type
77.125,16.425,0.65,0.25,1.525,3.675,0.35,0.212965964,unfavor-type
72.575,22.925,0.5,0.05,1.5,1.95,0.5,0.315880124,favor-type
75,19.575,0.65,0,2.225,2.15,0.4,0.261,favor-type
78.475,16.225,0.85,0.05,1.45,1.95,1,0.206753743,unfavor-type
77.65,17.975,0.825,0.175,1.2,1.775,0.4,0.231487444,favor-type
73.925,18.875,0.525,0.05,3.225,2.975,0.425,0.255326344,unfavor-type
79.95,15.825,0.4,0.05,1.225,2.15,0.4,0.19793621,favor-type
73.7,19.05,0.975,0.025,2.05,2.45,1.75,0.258480326,favor-type
75.8,19.025,0.425,0.075,2.35,1.675,0.65,0.250989446,unfavor-type
78.225,16.775,0.525,0,1.65,2.025,0.8,0.21444551,favor-type
72.7,20.075,0.8,0.05,2.15,3.075,1.15,0.276134801,unfavor-type
75.525,18.375,0.85,0.15,2.075,1.8,1.225,0.243296922,favor-type
78.125,16.55,0.575,0.05,1.25,2.725,0.725,0.21184,unfavor-type
79.775,14.725,0.6,0.075,1.575,1.675,1.575,0.184581636,unfavor-type
76.95,17.375,0.55,0.175,1.95,1.8,1.2,0.225795971,favor-type
76.225,18.75,0.425,0,1.625,2.325,0.65,0.245982289,favor-type
75.45,18.975,0.575,0,1.7,2.55,0.75,0.251491054,favor-type
72.85,23.35,0.75,0.075,0.95,1.325,0.7,0.32052162,favor-type
79.9,15.375,1.225,0.025,1.325,1.075,1.075,0.192428035,unfavor-type
75.05,19.7,0.6,0.025,1.9,1.65,1.075,0.262491672,favor-type
75.325,19.3,0.625,0.15,1.2,2.825,0.575,0.256223034,favor-type
71.825,23.525,0.5,0.025,1.85,1.775,0.5,0.327532196,unfavor-type
76.275,18.85,0.55,0.025,1.65,1.825,0.825,0.247132088,favor-type
89.025,8.5,0.2,0,0.55,1.45,0.275,0.095478798,unfavor-type
76.275,16.925,0.925,0.025,3.15,2.35,0.35,0.221894461,unfavor-type
74.15,20.65,0.5,0.025,1.9,2.125,0.65,0.278489548,favor-type
81.325,14.75,0.475,0.025,1.4,1.25,0.775,0.181371042,favor-type
76.175,19.325,0.325,0.025,1.55,2.1,0.5,0.253692156,unfavor-type
82.075,13.075,0.625,0.125,0.675,2.675,0.75,0.159305513,unfavor-type
75.475,19.85,0.625,0.125,1.7,1.775,0.45,0.263000994,favor-type
76.7,17.75,0.525,0.025,2.525,1.925,0.55,0.231421121,favor-type
