Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Atribacterota,Bacteroidetes,Balneolaeota,Caldiserica,Calditrichaeota,Candidatus_Absconditabacteria,Candidatus_Bipolaricaulota,Candidatus_Cloacimonetes,Candidatus_Omnitrophica,Candidatus_Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermodesulfobacteria,Thermotogae,Unassigned,Verrucomicrobia,F_B_ratio,group
0.00164,3.42292,0.00036,8.00E-05,2.00E-05,79.18556,0.00022,0,1.00E-04,4.00E-05,2.00E-05,4.00E-05,6.00E-05,0.00358,0.00034,0.001,0.0025,0.00022,0,0.0075,0.00052,0.0022,2.00E-05,8.00E-05,2.00E-04,16.22292,0.0037,0.00012,0.00026,0.00026,0.00032,0.00302,1.12416,0.00604,0.00328,0.0019,4.00E-04,0.00082,8.00E-05,0.0035,0.204872201,unfavor-type
0.0021,0.67878,0.00022,0.00022,2.00E-05,82.1617,4.00E-04,6.00E-05,1.00E-04,2.00E-05,4.00E-05,2.00E-05,0.00014,0.009,0.00084,0.00172,0.00176,2.00E-04,0,0.00824,1.00E-04,0.00272,1.00E-04,0.00024,0.00022,15.73578,0.00312,0.00034,0.00026,3.00E-04,5.00E-04,0.0045,0.65182,0.00646,0.00298,0.00242,0.00022,8.00E-04,0,0.72154,0.191522084,unfavor-type
0.00538,1.11992,0.0016,0.00062,8.00E-05,66.08256,0.00018,4.00E-05,2.00E-05,2.00E-05,6.00E-05,1.00E-04,0.00034,0.00262,0.00052,0.00272,0.00692,0.00012,2.00E-05,0.01834,0.00098,0.00988,0.00014,4.00E-04,9.00E-04,28.75234,0.00776,0.00126,6.00E-04,7.00E-04,0.00126,0.0147,3.91978,0.02028,0.00924,0.0044,0.00062,0.00164,2.00E-05,0.01092,0.435097248,favor-type
0.0042,0.99836,0.00072,5.00E-04,0.00022,74.07092,2.00E-04,0,0.00028,4.00E-05,8.00E-05,8.00E-05,8.00E-05,0.00098,0.001,0.0035,0.00584,0.00032,2.00E-05,0.0161,0.00104,0.00684,6.00E-05,3.00E-04,0.00068,23.85578,0.01012,0.00042,8.00E-04,0.00066,0.00154,0.01184,0.96038,0.02286,0.00782,0.00432,0.00066,0.00222,4.00E-05,0.00818,0.322066744,favor-type
0.0055,0.44018,0.00044,0.00066,0.00014,73.60568,1.00E-04,4.00E-05,0.00032,0.00012,4.00E-05,4.00E-05,1.00E-04,0.00528,0.00104,0.00318,0.00604,0.00022,2.00E-05,0.02094,0.0014,0.0081,0.00012,3.00E-04,0.00132,22.66952,0.00732,0.00162,0.00074,0.00096,0.00152,0.0132,2.49802,0.01834,0.07128,0.00432,0.00052,0.00282,6.00E-05,0.60844,0.307986014,favor-type
0.01838,3.0263,0.00154,0.00204,0.00024,59.85906,0.00306,4.00E-04,9.00E-04,2.00E-05,0.00016,0.00034,0.00058,9.00E-04,0.00144,0.01014,0.01946,9.00E-04,8.00E-05,0.05206,0.00206,0.03084,0.00034,0.00068,0.00206,33.24694,0.019,0.00442,0.00126,0.00382,0.00312,0.04364,3.28288,0.04722,0.154,0.01562,8.00E-04,0.0058,3.00E-04,0.1372,0.555420349,favor-type
0.00138,0.63892,0.00032,2.00E-04,0,23.9196,0,0,0.00022,0,0,2.00E-05,0,0.00018,0.00014,0.00098,0.0019,6.00E-05,0,0.00556,0.00018,0.00138,8.00E-05,0.00014,8.00E-05,17.60684,0.00236,0.00028,0.00032,0.00018,5.00E-04,0.00306,0.2033,0.00584,0.00232,0.00106,1.00E-04,7.00E-04,0,57.6018,0.736084215,unfavor-type
0.00664,0.72976,0.00108,0.00038,0,71.33748,0.00082,0,0.00066,6.00E-05,1.00E-04,0.00016,0.00014,0.01776,0.00044,0.00398,0.0092,0.00024,2.00E-05,0.0204,0.00098,0.01336,8.00E-05,5.00E-04,0.00094,10.34636,0.00436,0.00106,0.00028,0.00114,0.00184,0.014,2.89282,0.01874,0.012,0.00684,0.00048,0.00188,4.00E-05,14.55298,0.145033999,unfavor-type
0.0017,0.14546,0.00106,0.00016,0.00024,70.98094,2.00E-05,1.00E-04,1.00E-04,0,0,0.00012,6.00E-05,0.02302,0.00062,0.00156,0.00238,0.00016,0,0.01214,0.00084,0.0017,0.00036,0.00026,1.00E-04,16.22586,1.5267,0.00032,0.00046,2.00E-04,8.00E-04,0.0048,7.2318,0.0123,0.0027,0.00612,0.00032,0.00244,2.00E-05,3.81206,0.228594606,unfavor-type
0.00532,0.7064,0.00068,1.00E-04,0,82.05096,0.00142,2.00E-05,0.00022,4.00E-05,0,8.00E-05,0.00044,0.00392,0.0016,0.00514,0.00528,2.00E-04,0,0.01954,0.00094,0.00576,8.00E-05,0.00038,7.00E-04,14.54726,0.00436,0.00062,3.00E-04,0.00266,0.00172,0.01538,2.52964,0.01578,0.00774,0.00426,0.00042,0.00172,4.00E-05,0.05888,0.177295427,unfavor-type
0.00558,0.32428,0.00096,0.00056,0.00032,72.62952,0.00012,0,0.00068,0.00018,8.00E-05,0.00044,0.00018,0.00158,0.00066,0.00386,0.00636,0.00024,2.00E-05,0.02174,0.00172,0.00798,0.00016,5.00E-04,0.00054,22.84654,0.01364,0.00118,0.00134,0.00062,0.00146,0.01346,0.8722,0.02382,0.00766,0.00944,0.00036,0.00302,0.00012,3.19688,0.314562729,favor-type
0.006,0.78446,0.0011,5.00E-04,0.00022,62.2234,0.00032,1.00E-04,2.00E-04,0.00022,8.00E-05,0.00026,0.00024,0.00088,8.00E-04,0.00522,0.00804,0.00022,2.00E-05,0.01992,0.00124,0.01328,0.00012,0.00042,0.0015,22.9363,0.00916,0.00164,0.00072,0.00134,0.00246,0.0165,1.19332,0.02522,0.01164,0.0194,0.00056,0.00368,0,12.7093,0.36861213,unfavor-type
0.00054,0.28066,0.00028,2.00E-05,4.00E-05,79.9184,0.00026,2.00E-05,2.00E-05,2.00E-05,0,4.00E-05,2.00E-05,0.00668,0.00026,0.00058,0.00248,0,0,0.00476,0.00032,0.00072,0,4.00E-05,3.00E-04,19.61724,0.00478,2.00E-05,0,6.00E-05,0.00042,0.00166,0.14798,0.00354,0.00222,0.0017,0.00022,0.00056,0,0.00314,0.245465875,unfavor-type
0.0075,0.69976,0.00076,0.00088,2.00E-05,80.0764,0.00038,0.00016,0.00052,2.00E-05,2.00E-05,0.00014,0.00032,5.00E-04,0.00068,0.00458,0.01082,0.00058,2.00E-04,0.02292,0.0012,0.0094,0.00022,6.00E-04,5.00E-04,16.20706,0.0557,0.00128,0.00082,0.00316,0.0011,0.01952,2.24004,0.02442,0.03708,0.00536,0.00048,0.00246,2.00E-05,0.56242,0.202394963,unfavor-type
0.00314,0.7805,0.00056,4.00E-05,0.00046,71.83526,4.00E-05,4.00E-05,0.00024,1.00E-04,4.00E-05,2.00E-05,1.00E-04,3.00E-04,0.00056,0.00262,0.00294,3.00E-04,0,0.01192,0.00108,0.0055,0.00034,0.00058,6.00E-04,26.6243,0.0069,0.00054,0.00058,0.00032,0.00144,0.0067,0.59578,0.01422,0.0065,0.00472,0.00052,0.00294,4.00E-05,0.08722,0.370629966,favor-type
0.00288,1.27398,8.00E-04,0.00012,0.00012,79.02572,0.00012,2.00E-05,0.00016,0,4.00E-05,0.00028,0.00026,0.00132,0.00038,0.00232,0.00264,0.00022,0,0.00944,5.00E-04,0.0036,1.00E-04,0.00014,3.00E-04,18.9372,0.0101,0.00032,8.00E-04,0.00022,0.00088,0.00718,0.64744,0.0094,0.00326,0.00308,0.00038,0.00086,0,0.05342,0.239633375,unfavor-type
0.01090619,1.347562828,0.002423598,0.000850385,0.000191337,68.2669427,0.000722827,0.000106298,0.00059527,4.25E-05,0.000233856,0.000170077,0.003507839,0.001062981,0.003103906,0.007525909,0.01203295,0.000170077,2.13E-05,0.039989362,0.001318097,0.01430773,0.000233856,0.002466117,0.001296837,27.56582991,0.011607757,0.002402338,0.000659048,0.002019665,0.002189742,0.023938342,2.083528656,0.031039058,0.022513947,0.048238098,0.000914164,0.006058994,0.000233856,0.48104162,0.403794704,unfavor-type
