,CPM,logFC,signif,name,col,Richess,logCPM
3756,1.470279045,-0.217714677,TRUE,s__Neoasaia_chiangmaiensis,favor-type,Different abundant taxa,0.556089991
3757,1.347209992,-0.220972849,TRUE,s__Acetobacter_orientalis,favor-type,Different abundant taxa,0.429974744
3758,10.59277612,-0.09806136,TRUE,s__Saccharibacillus_brassicae,favor-type,Different abundant taxa,3.405008831
3759,1.930958311,-0.225476394,TRUE,s__Paraburkholderia_acidiphila,favor-type,Different abundant taxa,0.949317017
3760,1.230034982,-0.227633005,TRUE,s__Helicobacter_himalayensis,favor-type,Different abundant taxa,0.298699346
3761,0.518438728,-0.340458992,TRUE,s__Lactobacillus_sp._CBA3605,Non_sig,Different abundant taxa,-0.947754602
3762,1.256142412,-0.259788552,TRUE,s__Erwinia_amylovora,favor-type,Different abundant taxa,0.329000035
3763,0.994153086,-0.599604461,TRUE,s__Ensifer_sp._T173,Non_sig,Different abundant taxa,-0.008460071
3764,1.694899344,-0.318655916,TRUE,s__Chryseobacterium_joostei,favor-type,Different abundant taxa,0.761199598
3765,1.045065007,-0.26231625,TRUE,s__Mycolicibacillus_parakoreensis,favor-type,Different abundant taxa,0.063592687
3766,1.217802277,-0.290460049,TRUE,s__Calothrix_sp._336/3,favor-type,Different abundant taxa,0.284279915
3767,1.295396213,-0.206920386,TRUE,s__Synechococcus_sp._HK01-R,favor-type,Different abundant taxa,0.373393432
3768,3.817941625,-0.246155219,TRUE,s__Hymenobacter_sp._5420S-77,favor-type,Different abundant taxa,1.932795045
3769,0.296192169,-0.305910511,TRUE,s__Mycobacterium_sp._MOTT36Y,Non_sig,Different abundant taxa,-1.755394596
3770,5.015982678,-0.159516352,TRUE,s__Aquisphaera_giovannonii,favor-type,Different abundant taxa,2.326532366
3771,5.458044803,-0.185881189,TRUE,s__Vaginimicrobium_propionicum,favor-type,Different abundant taxa,2.448384237
3772,5.94312079,-0.194194663,TRUE,s__Corallococcus_macrosporus,favor-type,Different abundant taxa,2.571220703
3773,2.098154987,-0.174836494,TRUE,s__Agrobacterium_larrymoorei,favor-type,Different abundant taxa,1.069121251
3774,1.674193686,-0.245095366,TRUE,s__Leptospira_kobayashii,favor-type,Different abundant taxa,0.743466442
3775,0.482921034,-0.43342835,TRUE,s__Pseudoalteromonas_arctica,Non_sig,Different abundant taxa,-1.050140793
3776,0.299946218,-0.408162577,TRUE,s__Blattabacterium_sp._(Blatta_orientalis),Non_sig,Different abundant taxa,-1.737224253
3777,0.313708315,-0.462554785,TRUE,s__Cellulophaga_sp._HaHa_2_95,Non_sig,Different abundant taxa,-1.672504328
3778,2.982056477,0.298021601,TRUE,s__Tamlana_carrageenivorans,unfavor-type,Different abundant taxa,1.576307581
3779,3.375425216,-0.156554655,TRUE,s__Ktedonosporobacter_rubrisoli,favor-type,Different abundant taxa,1.755069256
3780,0.632913133,-0.616758196,TRUE,s__Nostoc_sp._C057,Non_sig,Different abundant taxa,-0.65992059
3781,1.035429599,-0.333765509,TRUE,s__Neisseria_gonorrhoeae,favor-type,Different abundant taxa,0.050229465
3782,2.948999329,-0.164390879,TRUE,s__Nocardiopsis_sp._MT53,favor-type,Different abundant taxa,1.560225494
3783,1.848741883,-0.180571526,TRUE,s__Neisseria_dentiae,favor-type,Different abundant taxa,0.886543813
3784,1.621492877,-0.208338815,TRUE,s__Luteimonas_sp._S4-F44,favor-type,Different abundant taxa,0.697322686
3785,3.924249546,-0.148763336,TRUE,s__Salisediminibacterium_beveridgei,favor-type,Different abundant taxa,1.972416786
3786,1.207431132,-0.534443898,TRUE,s__Sporosarcina_psychrophila,favor-type,Different abundant taxa,0.271940904
3787,1.673345913,-0.181099763,TRUE,s__Glycocaulis_alkaliphilus,favor-type,Different abundant taxa,0.742735709
3788,1.859326789,-0.215912053,TRUE,s__Lichenihabitans_psoromatis,favor-type,Different abundant taxa,0.894780356
3789,4.695424669,-0.172168955,TRUE,s__Miniphocaeibacter_halophilus,favor-type,Different abundant taxa,2.231255646
3790,1.548766363,-0.191377675,TRUE,s__Sphingomonas_sp._AP4-R1,favor-type,Different abundant taxa,0.631119525
3791,1.868760356,-0.20492452,TRUE,s__Ahniella_affigens,favor-type,Different abundant taxa,0.902081574
