bacter_tsne1,bacter_tsne2,Group
-1.809906018,11.71252106,favor-type
-6.221221123,5.452003937,favor-type
5.348311583,4.929217834,unfavor-type
0.441174873,-1.913569121,favor-type
6.827448554,-4.857405089,favor-type
1.600454472,8.060843828,favor-type
-14.20717438,-14.38882118,unfavor-type
1.501330959,4.461236926,favor-type
-0.98683089,5.848726927,favor-type
8.808034615,-3.688202257,unfavor-type
3.326365154,-7.377462345,favor-type
-5.225759285,-2.297270237,favor-type
10.55533895,4.902462773,favor-type
-5.495333856,4.6742064,unfavor-type
-0.607459437,10.08962289,favor-type
9.689625583,7.226519071,favor-type
-5.929121274,-3.079667823,favor-type
3.323209988,0.028607487,unfavor-type
-5.229470909,1.218690194,unfavor-type
10.65074536,6.352389043,unfavor-type
14.5113988,-4.785525204,unfavor-type
2.038896663,-1.338460387,favor-type
15.13166496,-3.835110948,unfavor-type
-3.110695361,4.081414074,unfavor-type
-9.718183004,-9.656819191,favor-type
2.597311109,-0.444204005,unfavor-type
-2.530549933,-6.684485025,unfavor-type
-0.735473459,7.665859684,favor-type
3.904842862,5.039426748,unfavor-type
-10.25115024,3.658295467,favor-type
6.382711282,-5.365301604,favor-type
1.80371648,0.181191658,favor-type
-5.019765717,-8.519485042,favor-type
-12.75663568,-12.2066886,favor-type
-9.811747879,-2.719870566,favor-type
-0.175875653,0.237491034,favor-type
-12.12457995,5.474547302,unfavor-type
-0.929128957,0.342723569,unfavor-type
3.695173747,6.073593004,favor-type
-13.49669119,-9.43123812,unfavor-type
0.655595048,1.147636049,favor-type
-7.918255597,-0.189930555,favor-type
-8.816990895,-8.821708169,favor-type
10.97993579,1.641891997,unfavor-type
10.10163305,-1.711243345,unfavor-type
6.142063521,-0.401361689,favor-type
5.345173555,6.049992397,unfavor-type
-8.298427564,-2.746787745,unfavor-type
-1.966883282,3.144672202,favor-type
14.42341831,-2.40427993,unfavor-type
5.88620665,-0.481987584,favor-type
-6.016678881,11.53411918,unfavor-type
0.304631373,13.89888046,unfavor-type
-0.091942409,-5.176541277,favor-type
0.018673175,-5.161003654,favor-type
-2.795427605,-1.330466232,favor-type
-5.819118198,-1.438168436,favor-type
1.104655134,2.808934363,unfavor-type
-5.985592896,-1.330280909,unfavor-type
-4.903042727,6.385147317,unfavor-type
1.32739357,13.66372138,unfavor-type
-1.392947318,-2.650925749,favor-type
-3.440306717,12.6798986,unfavor-type
9.6100359,-1.334759216,unfavor-type
-4.406181852,2.326765533,unfavor-type
0.921801123,-0.331130762,favor-type
-7.287139748,6.524446803,unfavor-type
-8.548616986,-10.80782768,unfavor-type
-1.605925598,-5.229314759,unfavor-type
0.743900594,-3.224141718,unfavor-type
-8.946175808,-1.123473189,unfavor-type
-12.11914544,-13.2658366,unfavor-type
-1.612498064,-1.851736594,unfavor-type
5.805882426,-2.523446682,favor-type
2.504400286,1.892942634,favor-type
-1.022727053,-4.686305185,favor-type
5.076890186,1.256405187,unfavor-type
-1.920099406,-2.426524114,favor-type
-2.46225655,-6.139358226,favor-type
-0.846290508,-5.307793397,favor-type
1.90286513,-4.273149927,favor-type
0.634873513,-3.387939829,favor-type
-12.08572752,-12.73415844,favor-type
-1.235683541,8.225781565,favor-type
-7.69870593,-8.858818019,unfavor-type
-6.930548895,-1.181479991,unfavor-type
-5.534693029,-0.196050683,favor-type
-8.854726374,-5.687601174,unfavor-type
-14.27867918,-13.6034451,unfavor-type
-1.437650995,14.00055721,unfavor-type
8.567138595,-3.722816762,unfavor-type
7.706141373,-4.528741015,favor-type
2.144198801,16.01528969,favor-type
-8.213550448,10.20466757,unfavor-type
-2.112713476,10.37950684,favor-type
9.185047438,0.57631555,favor-type
-2.33969335,-4.725309782,favor-type
4.451884636,-0.750402078,favor-type
6.633733708,-1.211487774,favor-type
-13.01619399,-12.53059206,unfavor-type
7.640429521,-5.309333188,favor-type
0.995390692,5.948761663,unfavor-type
-2.902989977,14.27681321,unfavor-type
-9.523871042,-8.469684461,unfavor-type
-4.411588318,3.319326254,unfavor-type
2.171774365,-6.931179041,favor-type
-0.818190783,9.40276671,favor-type
8.93775443,-4.999213478,favor-type
2.548505706,10.86928963,favor-type
-2.629512975,-2.536994704,favor-type
4.681947178,-7.629875287,favor-type
9.760904199,4.06117184,favor-type
-3.958584274,-0.750708771,unfavor-type
-5.183232606,5.911371063,favor-type
9.026945239,3.194237759,unfavor-type
6.085166438,3.560850189,favor-type
12.61234491,-1.628832293,unfavor-type
2.989040087,8.277075345,favor-type
4.025919565,13.64549161,favor-type
0.025893246,4.309810648,favor-type
3.784835947,-4.608464977,favor-type
-9.120461443,4.724645086,unfavor-type
-2.616505855,11.43321491,unfavor-type
-0.920846368,7.013514248,favor-type
-14.2641826,-13.96247368,favor-type
-5.818606216,-7.36752916,favor-type
-2.180731362,0.201829247,unfavor-type
-9.91437876,5.010166561,unfavor-type
11.88445585,4.39841988,unfavor-type
16.61535954,-5.071893416,unfavor-type
3.183736411,7.871861425,favor-type
13.28500323,-5.162835828,unfavor-type
-4.327372072,-2.956709825,favor-type
6.585225038,-2.576255776,unfavor-type
5.898593479,3.303033049,unfavor-type
