Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15372930	72.17	13.74	0.83	0	9.24	3.67	0.35	0.190383815990024
SRR15372931	71.19	21.23	0.76	0.06	2.14	3	1.62	0.298216041578873
SRR15372932	73.04	13.35	1.57	0.14	8.42	3.26	0.22	0.182776560788609
SRR15372933	76.88	13.16	2.28	0.05	4.43	3.11	0.09	0.171175858480749
SRR15372934	75.91	11.91	1.28	0.05	6.76	3.92	0.17	0.156896324594915
SRR15372935	74.03	17.32	1.61	0.07	3.34	3.34	0.29	0.233959205727408
SRR15372936	72.87	16.23	1.74	0.06	4.11	4.76	0.23	0.222725401399753
SRR15372937	77.93	12.53	1.65	0	5.23	2.62	0.04	0.160785320159117
SRR15372938	71.04	12.78	2.05	0.12	9.49	4.36	0.16	0.179898648648649
SRR15372939	75.29	14.95	0.88	0.03	4.39	4.1	0.36	0.198565546553327
SRR15372940	75.33	13.25	1.97	0.1	4.57	4.66	0.12	0.175892738616753
SRR15372941	88.12	6.71	1	0	1.77	2.27	0.13	0.0761461643213799
SRR15372942	79.08	11.45	1.17	0.06	4.52	3.57	0.15	0.144790085988872
SRR15372943	77	14.59	1.36	0.02	3.51	3.22	0.3	0.189480519480519
SRR15372944	76.43	14.07	1.37	0.04	4.01	3.76	0.32	0.184090017009028
SRR15372945	70.12	17.67	2.7	0.07	4.96	4.3	0.18	0.251996577296064
SRR15372946	76.58	13.3	1.89	0.14	3.18	4.59	0.32	0.173674588665448
SRR15372947	76.02	12.92	1.75	0.04	4.76	4.21	0.3	0.169955274927651
SRR15372948	76.3	12.69	2.5	0.12	3.24	5.01	0.14	0.166317169069463
SRR15372949	77.26	14.13	0.97	0.07	2.45	5.06	0.06	0.182888946414704
SRR15372950	71.59	13.64	1.97	0.08	7.7	4.81	0.21	0.190529403547982
SRR15372951	74.2	12.32	1.67	0.06	7.48	4.09	0.18	0.166037735849057
SRR15372952	85.86	8.5	1.72	0	0.88	2.87	0.17	0.098998369438621
SRR15372953	80.56	10.27	1.54	0.15	4.55	2.64	0.29	0.127482621648461
