Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	Pielou	Coverage
SRR15372865	6474	6620.89772727273	23.2124046771417	6568.4921535828	38.5277603634084	3.81008618954816	0.938952865982571	16.3807853733887	704.842906428268	0.434170671362783	0.999959397706451
SRR15372866	5741	6106.32667876588	38.0676967232107	6052.31860117158	38.0608733326248	2.89294353051083	0.868871191691268	7.62608928501495	599.0246144274	0.334236119724717	0.999927034381974
SRR15372867	5793	6086.31622176591	33.3776619268174	6033.6532852364	38.175333580306	2.59919832835807	0.761838427764959	4.19883019168643	612.715270753626	0.299985764404735	0.999931603677702
SRR15372868	6321	6517.359375	27.4252894291724	6452.67325638929	39.0866952665694	4.03315037287098	0.945755442153743	18.4350290555278	698.086557503867	0.460845479921893	0.999940578802634
SRR15372869	6531	6623.76209677419	16.9751958193132	6606.98027602073	36.412010414845	3.95973796801541	0.937894576100259	16.1016532406949	729.222788926123	0.450773658536666	0.999961977139241
SRR15372870	6202	6393.60869565217	27.3582093600777	6330.71523251368	38.1206978653833	3.31766753717458	0.892043553303368	9.26299475945234	674.389863043184	0.379916318344064	0.999949024618403
SRR15372871	5794	6104.93894736842	35.0181074855944	6023.70382783794	37.8462318535941	2.73097745395719	0.845986393022729	6.49293279747404	604.410846689128	0.315188737149092	0.999938189102034
SRR15372872	6335	6495.36082474227	24.2008534150424	6438.10166258657	38.8291697008262	3.49433531199206	0.934616779692656	15.2944439765944	689.390920742927	0.399177192989627	0.999954663234506
SRR15372873	6671	6732.88524590164	13.5951194851584	6716.88131308164	34.7424321639327	4.35807267825373	0.950411626238797	20.1660172365319	779.477263676905	0.494924794622295	0.999962809283296
SRR15372874	5114	5530.67311827957	43.6548277356589	5467.07071143342	36.4819357429305	3.08677509383365	0.896486656387284	9.66059026883909	538.774632257043	0.361460199242631	0.999912737068383
SRR15372875	5732	6085.60388349515	37.7537387325443	6003.90073844908	37.5836852136805	2.60023340339704	0.814624612235736	5.39445938352759	587.222541770486	0.3004723309258	0.999940704532255
SRR15372876	6294	6448.51898734177	23.150419409161	6405.37277080746	38.8066141818783	3.28636338150556	0.906732453122393	10.7218430577174	681.973293390047	0.375698080098096	0.999954952342313
SRR15372877	5468	5893.45950413223	41.6415154026438	5818.16947855578	35.7677623113359	2.95627792247883	0.896551163540174	9.66661428220457	554.973785982948	0.343486916716441	0.999931939689465
SRR15372878	5735	6126.36363636364	41.2718560045541	6029.24659460982	38.107152781897	2.95641491353244	0.884733688859066	8.67556175001836	581.60707709997	0.341610553618367	0.999944720309444
SRR15372879	6249	6465.71428571429	29.5709945821281	6382.43369784984	39.0879307599811	3.49261046557575	0.888564327426912	8.9737870908808	665.354320122323	0.399604101095115	0.999953623682505
SRR15372880	6066	6279.03614457831	27.4657138909545	6224.29863612345	38.9253390158445	3.3097812146713	0.904399334127413	10.4601781888503	650.109311076263	0.37997800724876	0.999942582278163
SRR15372881	6337	6493.76764705882	23.0300984450556	6448.61964355334	39.3432872318786	3.11516008095027	0.846512374005252	6.51518318508761	668.173393236805	0.355849083670413	0.999962776737031
SRR15372882	6617	6715.16901408451	18.2254296236194	6683.75289588291	36.3413587630482	3.98937711369566	0.94895930819752	19.5922109337751	744.31727624483	0.453472424183142	0.999962053972209
SRR15372883	4641	5273.10751104565	54.2738892731028	5233.65661339584	33.1737354404281	2.18694446182464	0.658493492692354	2.92820188957381	481.411508433332	0.259034232090432	0.999874738277996
SRR15372884	6119	6354.89552238806	29.7602091218237	6294.37620239609	39.1109046950859	2.86812632832039	0.859517226721276	7.11831049929485	669.843775747487	0.32894548488755	0.999929806880375
SRR15372885	5423	6018.78110944528	52.1599794743739	5982.84426044631	37.473222346188	3.16473942068336	0.877118002543142	8.13788854914312	583.083360541854	0.368061242088472	0.999860204455685
SRR15372886	5572	6015.42105263158	44.6413584384329	5920.19489711747	37.666484057693	3.14325870517284	0.896377314404574	9.65039647692884	612.134124271044	0.364414272030858	0.999877169795561
SRR15372887	6186	6373.00265251989	25.5446464593844	6321.4505516269	39.1949046070583	3.51108755900098	0.934570222190184	15.2835609943027	682.64404636386	0.40218440798295	0.999936093667647
SRR15372888	6142	6340.37465564738	26.8666244231242	6283.36716165306	39.0166795485505	3.58946217544206	0.93336678450168	15.0075302913337	675.425126282315	0.411498449998175	0.999936761082371
SRR15372889	4086	4789.63059701493	62.507137037582	4699.05500526829	32.6830545718252	1.81798781429339	0.666971361769328	3.0027447648732	409.962451232159	0.218631084088245	0.999900508858833
SRR15372890	6182	6376.21487603306	26.4609119925877	6319.91544363808	39.1757467182577	3.42024175296706	0.908176313225577	10.8904361731481	685.791522122151	0.391807327000412	0.999933297238151
SRR15372891	5748	6098.28756957328	37.1061906741198	6032.71965716206	37.8145144036541	2.81008275182738	0.84401632920617	6.41092747023333	608.869498148898	0.324617101317224	0.999919748802006
SRR15372892	5682	6005.26931106472	35.9555819581159	5929.6284909646	37.7095224287005	3.38904724597738	0.927602953349773	13.812718146243	600.10688482591	0.392021317323614	0.999928282701607
SRR15372893	6366	6512.51041666667	22.7345062880113	6458.21991508241	39.2041620597819	3.27379723926983	0.893974514626669	9.43169462020243	725.097146072278	0.373775479684304	0.999938245379333
SRR15372894	6117	6347.93333333333	29.258953721202	6290.77194045066	39.062609788882	3.5573217502143	0.923682702420033	13.1031893385923	677.831727627674	0.408004623333283	0.999923053835127
SRR15372895	4566	5186.79471228616	54.2722053203738	5218.36806620386	35.2882413619281	2.42150791834827	0.829913071521086	5.8793465726202	465.113882628453	0.287371828970926	0.999895201605033
SRR15372896	5408	5892.59842519685	45.2987536082929	5817.9353020817	35.6307647521995	2.94814443286181	0.896930615916199	9.70220215138714	564.830160619681	0.34298159053704	0.999903438594696
SRR15372897	5264	5739.67586206897	43.3334116703997	5721.07904988946	35.0302082413287	2.78374286652979	0.885314436440009	8.71949327324801	535.615339775494	0.324875448567023	0.999916334269061
SRR15372898	4436	5130.87931034483	57.9005530870432	5119.58545587911	33.0966079745959	2.1071588127597	0.749978142255049	3.99965030665482	443.612601044206	0.250926670783668	0.99989926288895
SRR15372899	5161	5727.0777385159	52.2824358421762	5594.18559630481	35.2395256783589	2.74957527231005	0.86543519147672	7.43136345210939	532.953549203482	0.321629670660265	0.999906381431967
SRR15372900	6312	6489	24.9098911655566	6437.35359224536	39.4501019233341	3.73810484410126	0.942926242958694	17.5211875271548	707.295050770339	0.427201833697042	0.999933356815329
SRR15372901	6188	6347.4976635514	22.2388011325736	6312.72862830413	39.1542722293721	3.45553925118243	0.925310947449333	13.3888430211593	680.199115779119	0.39580686211621	0.999939089606925
SRR15372902	4954	5543.74702886248	53.3793508269017	5457.54815168259	35.1998475399957	3.28886949927898	0.934888227473076	15.3582057620455	519.524832051867	0.38656424443676	0.999884037723057
SRR15372903	6310	6498.19451371571	25.3263177581572	6449.07691453582	39.6530414778749	3.13802973456153	0.898568035700504	9.85882514359403	698.530865380055	0.358636439072007	0.999933514388409
SRR15372904	6334	6467.5037037037	21.5705927596924	6425.64055277644	37.8169990033047	4.24120710600446	0.950367316780132	20.1480140731079	745.377316185071	0.484505214314152	0.999926386700786
SRR15372905	6384	6563.3108974359	25.8281336593098	6508.50223118845	38.5706704966786	3.88241179273671	0.940871600350855	16.9123467899313	741.182487010614	0.443119280388252	0.999917869248825
SRR15372906	5932	6251.76659528908	35.8795137812375	6175.73003061129	38.6978787788521	3.65178241296175	0.93990311896855	16.6397986523907	649.984079107889	0.420319217350341	0.999908463035801
SRR15372907	6508	6641.12720848057	21.3133609401475	6592.7053068575	39.3245613669709	3.46764886147257	0.889796049696929	9.07408488760981	736.054566726153	0.394913198158588	0.999945978279339
SRR15372908	6489	6622.69097222222	21.2986859724356	6574.56973385387	39.4397524990072	3.92981195637374	0.957447995977347	23.5006557967904	725.235495970161	0.447695713232356	0.999950134627537
SRR15372909	5100	5663.11138014528	47.5634603089206	5691.00912574845	34.1297487156689	2.85343907911029	0.884542844768849	8.66122154142761	518.53077732368	0.334243935419972	0.999900395137136
SRR15372911	3319	4026.85571142285	63.9997600644163	4023.35741143334	30.9450965350805	2.46107576355648	0.819302767165333	5.53411905823137	328.738359780452	0.303558483989847	0.999894500489927
SRR15372912	6570	6685.34926470588	19.4158313059996	6649.58815484636	38.8660526417449	4.00481818652856	0.949122373479649	19.655004928345	753.87028311472	0.455596766804206	0.999945353775521
SRR15372913	5860	6145.72180451128	34.2695191811683	6055.80577816828	38.4118962086048	2.18883102334527	0.770679200266488	4.36070343885978	618.576875956457	0.252288499352083	0.999940592587695
SRR15372914	5878	6168.52631578947	32.0236736307915	6126.97259305028	37.9358612051125	2.93090503649963	0.885304436740333	8.71873306673625	630.095298393128	0.337701871624329	0.999918785940041
SRR15372916	5593	6025.25906735751	42.5621999630676	5934.74431395537	36.4983871572633	2.2505807607033	0.674648009960674	3.07359423213956	590.954933747411	0.260807747951489	0.999907060403255
SRR15372917	6472	6620.06886227545	22.1992422376008	6579.27947448993	39.7114026959278	2.73368422053356	0.701860306871532	3.35413238507998	752.941877081061	0.311522428745685	0.999922625049588
SRR15372918	4172	4933.79604261796	62.9689767957665	4924.44824192881	33.1281129448828	2.6424576138236	0.859132708408169	7.09888000755735	421.139153469261	0.316987740758426	0.999881503010605
SRR15372919	6673	6739.73575129534	14.178669000053	6717.09636984542	37.0996003546773	3.98787917439307	0.940961705497308	16.9381586718161	760.46821362072	0.45286832967077	0.999967270462263
SRR15372920	6104	6278.78155339806	23.8989886890317	6239.59476555985	39.0224456413351	3.74737361099773	0.92051073521165	12.5803151238425	697.271304962224	0.429907395526235	0.999913983401513
SRR15372921	6481	6622.8023255814	22.7449662208301	6569.23065030109	38.4394242962842	4.14583006404879	0.957221192160218	23.3760604957776	751.094000401847	0.472371515895548	0.999935444158482
SRR15372922	5390	5823.91288566243	43.1844951805471	5777.72302077551	37.3343913309003	2.87723135282992	0.873291182264232	7.89211057185732	557.785918648776	0.334861577285978	0.999921115931424
SRR15372923	6423	6597.3785488959	25.2261865738012	6528.86113276809	39.8674386132325	3.37613666481408	0.91200944177771	11.3648557322901	721.962610136854	0.38506786803868	0.999936867609671
SRR15372924	5865	6146.32571428571	31.855983905247	6092.14021835507	37.8563365127498	3.48387878205938	0.926485382436287	13.6027368860803	642.622570986822	0.401518502416125	0.999907948573034
SRR15372925	3518	4138.31938325991	59.3149803167979	4093.04674274729	31.3189654979388	2.46221037077385	0.842762778798609	6.35981730254052	354.704687449522	0.301532761796627	0.999895668825345
SRR15372926	6404	6544.5945945946	21.9474139622707	6496.68360755917	39.1024975893325	3.44293367102049	0.899471920560298	9.94746945901631	727.825033655373	0.392819181937552	0.999940068065258
SRR15372927	5571	5952.52125693161	39.4586494783387	5890.22084653737	37.4410612437682	3.37366473474329	0.909871358257107	11.0952520826029	618.943396724967	0.391134576115388	0.999871883281884
