"","path_ID","fc","auroc","p.val","p.adj","cohen.d"
"1","1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",-0.0788530530485073,0.340644266570192,9.79216707719388e-14,1.50239820584375e-12,-0.452973321819772
"2","ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",-0.19029290314602,0.346896245044393,8.50208792257945e-13,1.23395167957437e-11,-0.515649185239682
"3","ARO-PWY: chorismate biosynthesis I",0.0748105263836209,0.692337840485989,2.64874121228457e-19,8.88983769373009e-18,0.646319302712096
"4","BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",0.128695121853203,0.69343071194923,1.63710826875895e-19,5.86084760215706e-18,0.53460208418871
"5","CALVIN-PWY: Calvin-Benson-Bassham cycle",0.0781254072547629,0.717164865313013,3.60123441788614e-24,2.76266126057837e-22,0.777685302691132
"6","CENTFERM-PWY: pyruvate fermentation to butanoate",0.164395434104162,0.721280091650462,4.40205820687792e-25,3.93984209515574e-23,0.876941761468239
"7","CITRULBIO-PWY: L-citrulline biosynthesis",-0.115774264799044,0.389258204073019,2.31871464029254e-07,1.75373205892549e-06,-0.380837129059213
"8","COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",0.14574638259081,0.640825909344428,4.75523349840946e-11,5.55121823618669e-10,0.521725108987535
"9","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.0608863188569487,0.661820347005532,4.11790926144854e-14,6.91036647936834e-13,0.521843813757502
"10","CRNFORCAT-PWY: creatinine degradation I",0.0681911867171229,0.644232653491913,2.56594258210161e-12,3.44477791647141e-11,0.597365839227921
"11","DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0.0461707593501326,0.594932844932845,9.27199473480702e-06,5.65802405976292e-05,0.279213232603695
"12","DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",0.0906073624032937,0.617547747177377,4.00381776620204e-08,3.30776944684692e-07,0.349825518390006
"13","GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",0.159931100136856,0.685109814739444,5.38700602882197e-18,1.4464111187387e-16,0.613974403513566
"14","GALACTUROCAT-PWY: D-galacturonate degradation I",0.175140317638584,0.70303290673661,2.49709505967986e-21,1.34094004704809e-19,0.691493770618242
