"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"3754","K07470","K07470",-0.0339169185221066,0.433380063009693,0.00184894845738404,0.00601341595944511,-0.212266249952787,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","sbmC"," DNA gyrase inhibitor",""
"3755","K07471","K07471",-0.0263766792627266,0.445933010747826,0.011523873463839,0.030811743885653,-0.187022908439155,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors [BR:ko03000","ygiV"," probable transcriptional regulator",""
"3756","K07473","K07473",0.206390383791477,0.707027540360874,4.10556058242274e-22,1.50585451142078e-20,0.610778038080253,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2048,"Prokaryotic defense system [BR:ko02048","dinJ"," DNA-damage-inducible protein J",""
"3757","K07478","K07478",0.0592833123247523,0.595712929046262,7.82507139317134e-06,5.17486452895509e-05,0.130620481123323,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","ycaJ"," putative ATPase",""
"3758","K07479","K07479",-0.0500461539323257,0.436447640151344,0.00299282970327375,0.00929093963812723,-0.29701590694781,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","yrdD"," putative DNA topoisomerase",""
"3759","K07480","K07480",-0.130045485883006,0.436560695819955,0.00304829529741846,0.00944075168764042,-0.25480084155714,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","insB"," insertion element IS1 protein InsB",""
"3760","K07484","K07484",0.116413462203069,0.616070486440857,5.93862064101183e-08,5.36279343352109e-07,0.150394216604667,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","K07484"," transposase",""
"3761","K07485","K07485",0,0.478722923167368,0.0149508215113874,0.0387307218120135,-0.0916234016186458,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","K07485"," transposase",""
"3762","K07490","K07490",-0.0444768351683459,0.447986855394263,0.0150352414686026,0.0389373003009596,-0.246907988994142,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters [BR:ko02000","feoC"," ferrous iron transport protein C",""
"3763","K07491","K07491",0.133102088262945,0.632757503127873,5.64834595506317e-10,6.14746776756287e-09,0.259772647333628,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","rayT"," REP-associated tyrosine transposase",""
"3764","K07496","K07496",0.176642429487703,0.67304300637634,6.40655442062409e-16,1.28842927792551e-14,0.521059157719031,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99976,"Replication and repair","K07496"," putative transposase",""
"3765","K07502","K07502",0.131780518269913,0.69382640678937,1.40399175013159e-19,4.00329976424507e-18,0.621572115270149,"A09190","Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","yprB"," uncharacterized protein",""
"3766","K07503","K07503",0.0382953171348646,0.610048387826166,2.74934285067844e-07,2.27545015653565e-06,0.183898507734831,"A09190","Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","nucS"," endonuclease ","EC:3.1.-.-"
"3767","K07507","K07507",-0.097242698923509,0.362154991784621,1.21428200827722e-10,1.40029252090252e-09,-0.430800951290319,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters [BR:ko02000","mgtC"," putative Mg2+ transporter-C (MgtC) family protein",""
"3768","K07533","K07533",0.0944585974736541,0.636586321771507,1.78532062437019e-10,2.01417066646425e-09,0.306259322610348,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts [BR:ko03110","prsA"," foldase protein PrsA ","EC:5.2.1.8"
"3769","K07557","K07557",0.0105317670987448,0.594966761633428,8.74735396769e-06,5.7009370613623e-05,0.0751357982770383,"A09190","Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","tgtA2, arcS"," archaeosine synthase alpha-subunit ","EC:2.6.1.97"
"3770","K07558","K07558",0.00372087677357236,0.581565896380711,4.71291060981023e-06,3.27270172954795e-05,0.138870566219393,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","K07558, cca"," tRNA nucleotidyltransferase (CCA-adding enzyme) ","EC:2.7.7.72"
"3771","K07559","K07559",0.0331592886619793,0.589291367069145,3.04389430024722e-05,0.000173585369478482,0.0907202529566282,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","kptA"," putative RNA 2'-phosphotransferase ","EC:2.7.1.-"
"3772","K07560","K07560",-0.0303655995976882,0.43902530939568,0.00440509128785527,0.0130290550844344,-0.193926798337151,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","dtd, DTD"," D-aminoacyl-tRNA deacylase ","EC:3.1.1.96"
"3773","K07561","K07561",0.00369578632782464,0.572724943095314,4.27316039965715e-05,0.000233914092620286,0.103893828345741,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3012,"Translation factors [BR:ko03012","DPH1, dph2"," 2-(3-amino-3-carboxypropyl)histidine synthase ","EC:2.5.1.108"
"3774","K07562","K07562",0.00385151371140288,0.574239889054704,3.09896777437389e-05,0.000176484307041293,0.122808614157203,"A09120","Genetic Information Processing",9122,"Translation",3008,"Ribosome biogenesis in eukaryotes [PATH:ko03008","NMD3"," 60S ribosomal export protein NMD3",""
"3777","K07566","K07566",-0.0654702865628697,0.383839069024254,5.79991690230486e-08,5.24322563828341e-07,-0.371809057084644,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","tsaC, rimN, SUA5"," L-threonylcarbamoyladenylate synthase ","EC:2.7.7.87"
"3779","K07568","K07568",-0.109961018034112,0.312591386665461,0,0,-0.595306122055129,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","queA"," S-adenosylmethionine:tRNA ribosyltransferase-isomerase ","EC:2.4.99.17"
"3780","K07569","K07569",0.00343138471291294,0.544905711572378,0.00190516009726085,0.00617933890525666,0.104468922221521,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3009,"Ribosome biogenesis [BR:ko03009","gar1"," RNA-binding protein",""
"3781","K07572","K07572",0.00319272564131754,0.575596557078039,7.34368319842634e-06,4.88366663818672e-05,0.0978021651482449,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99974,"Translation","K07572"," putative nucleotide binding protein",""
"3782","K07573","K07573",0.00423542304381463,0.570516589035107,4.02732474644019e-05,0.000222357465774941,0.127897392819432,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis [BR:ko03019","CSL4, EXOSC1"," exosome complex component CSL4",""
"3784","K07574","K07574",0.160204738159593,0.701751609159017,4.42342286346464e-21,1.49713084395149e-19,0.669710934115225,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3009,"Ribosome biogenesis [BR:ko03009","yhbY"," RNA-binding protein",""
"3785","K07575","K07575",0.00427735384889997,0.568948883763699,2.92153328883753e-05,0.000167640841921856,0.0965136676533964,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis [BR:ko03019","MCTS, TMA20"," malignant T-cell-amplified sequence",""
"3786","K07576","K07576",0.115468887751057,0.652123939160976,1.20863105591263e-12,1.74403157218865e-11,0.35930788189849,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99974,"Translation","K07576"," metallo-beta-lactamase family protein",""
"3787","K07579","K07579",0.00313556059430705,0.576365335624595,2.69500374335172e-06,1.97002644136492e-05,0.07120556383476,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99974,"Translation","K07579"," putative methylase",""
"3788","K07581","K07581",0.0027120888449234,0.549721883055216,0.00104267160558784,0.00361569503878566,0.10033675125624,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99974,"Translation","K07581"," RNA-binding protein",""
"3789","K07583","K07583",0,0.520787168935317,0.00354901100222372,0.0107843305125966,1.03590112793634,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3016,"Transfer RNA biogenesis [BR:ko03016","PUS10"," tRNA pseudouridine synthase 10 ","EC:5.4.99.25"
"3790","K07584","K07584",0.127114807051413,0.667902741976816,4.46005715335077e-15,8.16141447446121e-14,0.564615583241396,"A09190","Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","ysxB"," uncharacterized protein",""
"3791","K07585","K07585",0.0034516320454081,0.56547053769276,9.75669378582615e-05,0.000477848426239933,0.113141584147773,"A09190","Not Included in Pathway or Brite",9192,"Unclassified: genetic information processing",99974,"Translation","K07585"," tRNA methyltransferase",""
"3792","K07589","K07589",-0.0315671185441725,0.444489666711889,0.00948699465561154,0.0259064340776063,-0.22518339806913,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",790,"Folate biosynthesis [PATH:ko00790","folX"," D-erythro-7,8-dihydroneopterin triphosphate epimerase ","EC:5.1.99.7"
"3793","K07592","K07592",-0.0271171938566006,0.404554636036118,8.16401743319872e-06,5.3649257418163e-05,-0.271199604354906,"A09180","Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors [BR:ko03000","tdcA"," LysR family transcriptional regulator, tdc operon transcriptional activator",""
"3794","K07636","K07636",0.0592925302106972,0.598554394850691,4.17219090137567e-06,2.92897651305682e-05,0.197727971008486,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","phoR"," two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR ","EC:2.7.13.3"
"3797","K07637","K07637",-0.03469359433117,0.41009059527578,2.67055005345185e-05,0.000154732078949479,-0.278159376483775,"A09160","Human Diseases",9175,"Drug resistance: antimicrobial",1503,"Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503","phoQ"," two-component system, OmpR family, sensor histidine kinase PhoQ ","EC:2.7.13.3"
"3802","K07638","K07638",-0.0344505554246154,0.439040383484828,0.00440864855000189,0.0130349459614047,-0.243556926108163,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","envZ"," two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ ","EC:2.7.13.3"
