"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"1","K00001","K00001",0.042288023760032,0.59478587256365,9.56782827027747e-06,6.16100063250814e-05,-0.0166116370839104,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",830,"Retinol metabolism [PATH:ko00830","E1.1.1.1, adh"," alcohol dehydrogenase ","EC:1.1.1.1"
"10","K00002","K00002",0.000155173551627902,0.529522603596678,0.0026049156257111,0.0081689369113637,0.0932822532361028,"A09100","Metabolism",9101,"Carbohydrate metabolism",53,"Ascorbate and aldarate metabolism [PATH:ko00053","AKR1A1, adh"," alcohol dehydrogenase (NADP+) ","EC:1.1.1.2"
"18","K00003","K00003",0.165798585489285,0.721095434058397,5.40721892695472e-25,2.57260027347571e-23,0.711137009825108,"A09100","Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism [PATH:ko00260","hom"," homoserine dehydrogenase ","EC:1.1.1.3"
"21","K00008","K00008",0.116324691334403,0.640098584543029,6.03784866980884e-11,7.19186380898833e-10,0.452254745396588,"A09100","Metabolism",9101,"Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040","SORD, gutB"," L-iditol 2-dehydrogenase ","EC:1.1.1.14"
"23","K00010","K00010",0.0162845693618495,0.549902772124994,0.0197784667978918,0.0499016710785597,0.0108836986225025,"A09100","Metabolism",9101,"Carbohydrate metabolism",562,"Inositol phosphate metabolism [PATH:ko00562","iolG"," myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ","EC:1.1.1.18"
"25","K00012","K00012",-0.087491195720664,0.36278056648427,1.47130529981609e-10,1.68501897197645e-09,-0.444612883949359,"A09100","Metabolism",9107,"Glycan biosynthesis and metabolism",541,"O-Antigen nucleotide sugar biosynthesis [PATH:ko00541","UGDH, ugd"," UDPglucose 6-dehydrogenase ","EC:1.1.1.22"
"29","K00016","K00016",0.0598087484893511,0.571586849364627,0.000828192400663506,0.00296327027414025,0.151348062851029,"A09100","Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640","LDH, ldh"," L-lactate dehydrogenase ","EC:1.1.1.27"
"37","K00018","K00018",-0.0556151979253408,0.415317535687906,7.6605655005002e-05,0.000389388695709186,-0.311629836851283,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","hprA"," glycerate dehydrogenase ","EC:1.1.1.29"
"40","K00019","K00019",-0.00263454558455865,0.425752573900722,0.000476285100565965,0.00183081705785421,-0.153899113629834,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","BDH, bdhA"," 3-hydroxybutyrate dehydrogenase ","EC:1.1.1.30"
"41","K00021","K00021",0.00594009179806618,0.582688916022249,5.32736383033768e-06,3.64766704369996e-05,0.106913400816399,"A09150","Organismal Systems",9154,"Digestive system",4976,"Bile secretion [PATH:ko04976","HMGCR"," hydroxymethylglutaryl-CoA reductase (NADPH) ","EC:1.1.1.34"
"44","K00024","K00024",-0.155738369631271,0.273044513785255,0,0,-0.72447877475171,"A09100","Metabolism",9105,"Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270","mdh"," malate dehydrogenase ","EC:1.1.1.37"
"51","K00027","K00027",0.0711374069816478,0.614261595743077,9.49349294952646e-08,8.39988441160453e-07,0.255345575448069,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","ME2, sfcA, maeA"," malate dehydrogenase (oxaloacetate-decarboxylating) ","EC:1.1.1.38"
"53","K00033","K00033",-0.06858920830734,0.400190687227724,3.14315341309879e-06,2.26775522681633e-05,-0.356241266446026,"A09100","Metabolism",9101,"Carbohydrate metabolism",30,"Pentose phosphate pathway [PATH:ko00030","PGD, gnd, gntZ"," 6-phosphogluconate dehydrogenase ","EC:1.1.1.44"
"55","K00036","K00036",-0.137150382828803,0.312402960551109,0,0,-0.589862657952253,"A09160","Human Diseases",9161,"Cancer: overview",5230,"Central carbon metabolism in cancer [PATH:ko05230","G6PD, zwf"," glucose-6-phosphate 1-dehydrogenase ","EC:1.1.1.49"
"60","K00040","K00040",0.160584666076768,0.707291336920967,3.63970803327397e-22,1.34089420730261e-20,0.681526336104192,"A09100","Metabolism",9101,"Carbohydrate metabolism",40,"Pentose and glucuronate interconversions [PATH:ko00040","uxuB"," fructuronate reductase ","EC:1.1.1.57"
"61","K00045","K00045",-0.0417907383955746,0.432456775049368,0.00160829848843091,0.00530324483749537,-0.255328634625749,"A09100","Metabolism",9101,"Carbohydrate metabolism",51,"Fructose and mannose metabolism [PATH:ko00051","E1.1.1.67, mtlK"," mannitol 2-dehydrogenase ","EC:1.1.1.67"
"62","K00048","K00048",0.0839047312113395,0.640392529281418,5.50820466350669e-11,6.59874993213765e-10,0.523392858515316,"A09100","Metabolism",9101,"Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630","fucO"," lactaldehyde reductase ","EC:1.1.1.77"
"64","K00052","K00052",-0.0382869756469633,0.408733927252446,2.0238690032981e-05,0.000120620854126413,-0.275072828546337,"A09100","Metabolism",9101,"Carbohydrate metabolism",660,"C5-Branched dibasic acid metabolism [PATH:ko00660","leuB, IMDH"," 3-isopropylmalate dehydrogenase ","EC:1.1.1.85"
"66","K00053","K00053",-0.0331779831947582,0.417024676283936,0.000106601652524185,0.000514480826905018,-0.228473761015208,"A09100","Metabolism",9105,"Amino acid metabolism",290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290","ilvC"," ketol-acid reductoisomerase ","EC:1.1.1.86"
"68","K00058","K00058",0.0723653678797402,0.617027691101765,4.62016987457256e-08,4.23651259644175e-07,0.395199519393503,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome [BR:ko04147","serA, PHGDH"," D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase ","EC:1.1.1.95"
"72","K00060","K00060",-0.0783133929445137,0.426713547083917,0.00062019659185597,0.00231143993902991,-0.30561368085431,"A09100","Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism [PATH:ko00260","tdh"," threonine 3-dehydrogenase ","EC:1.1.1.103"
"73","K00067","K00067",0.0818776645594459,0.614811799996985,8.23710213151887e-08,7.32714875502415e-07,0.327234333948558,"A09100","Metabolism",9107,"Glycan biosynthesis and metabolism",541,"O-Antigen nucleotide sugar biosynthesis [PATH:ko00541","rfbD, rmlD"," dTDP-4-dehydrorhamnose reductase ","EC:1.1.1.133"
"76","K00073","K00073",-0.0144167130945327,0.423287960324997,0.000338421978554493,0.00137381832932458,-0.202023980613693,"A09100","Metabolism",9104,"Nucleotide metabolism",230,"Purine metabolism [PATH:ko00230","allD"," ureidoglycolate dehydrogenase (NAD+) ","EC:1.1.1.350"
"77","K00074","K00074",0.206780862509254,0.775350849424923,7.63301148758015e-38,5.83050033445801e-36,1.04845387448855,"A09100","Metabolism",9105,"Amino acid metabolism",360,"Phenylalanine metabolism [PATH:ko00360","paaH, hbd, fadB, mmgB"," 3-hydroxybutyryl-CoA dehydrogenase ","EC:1.1.1.157"
"80","K00076","K00076",-0.0172529421771912,0.444696935437676,0.00975759913303653,0.0265495981639419,-0.200885574374344,"A09100","Metabolism",9103,"Lipid metabolism",121,"Secondary bile acid biosynthesis [PATH:ko00121","hdhA"," 7-alpha-hydroxysteroid dehydrogenase ","EC:1.1.1.159"
"81","K00077","K00077",0.0348365495085032,0.556904686534316,0.00787177126281159,0.0219345272872053,0.145608011031531,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",770,"Pantothenate and CoA biosynthesis [PATH:ko00770","panE, apbA"," 2-dehydropantoate 2-reductase ","EC:1.1.1.169"
"82","K00086","K00086",-0.000847654539388131,0.438987624172809,0.00410946837016146,0.0122910833485791,-0.163131478820999,"A09100","Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640","dhaT"," 1,3-propanediol dehydrogenase ","EC:1.1.1.202"
"84","K00088","K00088",0.0595611124937143,0.616273986644357,5.63091203300752e-08,5.10707773276913e-07,0.261031267435172,"A09100","Metabolism",9111,"Xenobiotics biodegradation and metabolism",983,"Drug metabolism - other enzymes [PATH:ko00983","IMPDH, guaB"," IMP dehydrogenase ","EC:1.1.1.205"
"87","K00090","K00090",-0.0607767247046657,0.419583502916836,0.000172663481087465,0.000773316914219598,-0.298444690084987,"A09100","Metabolism",9101,"Carbohydrate metabolism",30,"Pentose phosphate pathway [PATH:ko00030","ghrB"," glyoxylate/hydroxypyruvate/2-ketogluconate reductase ","EC:1.1.1.79"
"91","K00096","K00096",0.115672816749946,0.66713396343026,5.93254707759271e-15,1.06683341183665e-13,0.614443962183233,"A09100","Metabolism",9103,"Lipid metabolism",564,"Glycerophospholipid metabolism [PATH:ko00564","araM, egsA"," glycerol-1-phosphate dehydrogenase ","NAD(P)+"
"92","K00097","K00097",-0.0920045698468037,0.361408824371787,9.64690549665193e-11,1.13126950936794e-09,-0.440098964625536,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",750,"Vitamin B6 metabolism [PATH:ko00750","pdxA"," 4-hydroxythreonine-4-phosphate dehydrogenase ","EC:1.1.1.262"
"93","K00098","K00098",-0.00948414273318796,0.44453865750162,0.00950829887988358,0.0259475897980697,-0.156524219047552,"A09190","Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","idnD"," L-idonate 5-dehydrogenase ","EC:1.1.1.264"
"94","K00099","K00099",-0.0354704755204508,0.426129426129426,0.000560899575706042,0.00211410134329041,-0.235174920484585,"A09100","Metabolism",9109,"Metabolism of terpenoids and polyketides",900,"Terpenoid backbone biosynthesis [PATH:ko00900","dxr"," 1-deoxy-D-xylulose-5-phosphate reductoisomerase ","EC:1.1.1.267"
"95","K00100","K00100",-0.0423955621687134,0.442548877734063,0.0072943446322582,0.020441842278082,-0.230727711611577,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","bdhAB"," butanol dehydrogenase ","EC:1.1.1.-"
"96","K00101","K00101",-0.0487314033101361,0.411575393056875,3.62845541637125e-05,0.000202077055496368,-0.271012800084611,"A09100","Metabolism",9101,"Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620","lldD"," L-lactate dehydrogenase (cytochrome) ","EC:1.1.2.3"
"97","K00105","K00105",-0.00662989001092949,0.442239858906526,0.00686570695581756,0.0193578991243268,-0.116342715183495,"A09100","Metabolism",9103,"Lipid metabolism",564,"Glycerophospholipid metabolism [PATH:ko00564","E1.1.3.21"," alpha-glycerophosphate oxidase ","EC:1.1.3.21"
"98","K00108","K00108",-0.0273069121673606,0.427538853464779,0.000712741123910732,0.00259706021780339,-0.234430620060315,"A09100","Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism [PATH:ko00260","betA, CHDH"," choline dehydrogenase ","EC:1.1.99.1"
"99","K00116","K00116",-0.03430234874832,0.431559866745052,0.00139117995525417,0.00466678658640058,-0.230440100096788,"A09100","Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020","mqo"," malate dehydrogenase (quinone) ","EC:1.1.5.4"
"101","K00117","K00117",-0.0122568512272937,0.437355854022521,0.00342620064875732,0.0104454582942341,-0.209724801004076,"A09100","Metabolism",9101,"Carbohydrate metabolism",30,"Pentose phosphate pathway [PATH:ko00030","gcd"," quinoprotein glucose dehydrogenase ","EC:1.1.5.2"
"102","K00121","K00121",-0.0562655728423017,0.423397247471322,0.000346140777786941,0.00139907462538506,-0.230073269060231,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","frmA, ADH5, adhC"," S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase ","EC:1.1.1.284"
"113","K00123","K00123",-0.0685578247042933,0.415901656642397,8.58308307625233e-05,0.000431017790668739,-0.276742433555982,"A09100","Metabolism",9101,"Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism [PATH:ko00630","fdoG, fdhF, fdwA"," formate dehydrogenase major subunit ","EC:1.17.1.9"
"115","K00124","K00124",-0.022514686369533,0.447059798911651,0.0134113428664135,0.0352248708850975,-0.19225879360629,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fdoH, fdsB"," formate dehydrogenase iron-sulfur subunit",""
"117","K00125","K00125",0.00629568283221506,0.578852560334042,1.52842592446841e-05,9.43341308163378e-05,0.118426584639902,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fdhB"," formate dehydrogenase (coenzyme F420) beta subunit ","EC:1.17.98.3"
"118","K00127","K00127",-0.0393234124199014,0.423250275102127,0.000337506106128371,0.00137210734356681,-0.269354108921635,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fdoI, fdsG"," formate dehydrogenase subunit gamma",""
"120","K00128","K00128",0.0800726282000081,0.665912962209258,9.30952101264361e-15,1.63871188057655e-13,0.503030206924172,"A09100","Metabolism",9105,"Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330","ALDH"," aldehyde dehydrogenase (NAD+) ","EC:1.2.1.3"
"136","K00130","K00130",-0.0495372145055649,0.422195088861756,0.00027901006697495,0.00116853008935283,-0.287001901945441,"A09100","Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism [PATH:ko00260","betB, gbsA"," betaine-aldehyde dehydrogenase ","EC:1.2.1.8"
"137","K00131","K00131",-0.00163733336547058,0.440325449584709,0.00503898402121883,0.0146951246797436,-0.119565607703431,"A09100","Metabolism",9101,"Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis [PATH:ko00010","gapN"," glyceraldehyde-3-phosphate dehydrogenase (NADP+) ","EC:1.2.1.9"
"139","K00133","K00133",0.0331725544612985,0.562067562067562,0.00374792465454483,0.0113226490107911,0.209095389554297,"A09100","Metabolism",9105,"Amino acid metabolism",270,"Cysteine and methionine metabolism [PATH:ko00270","asd"," aspartate-semialdehyde dehydrogenase ","EC:1.2.1.11"
"143","K00134","K00134",0.0722915109494384,0.633111744222855,5.0840868785655e-10,5.54058996740005e-09,0.283351657475798,"A09160","Human Diseases",9166,"Cardiovascular disease",5415,"Diabetic cardiomyopathy [PATH:ko05415","GAPDH, gapA"," glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ","EC:1.2.1.12"
"152","K00135","K00135",-0.0537557169750489,0.403115060522468,6.04314450747268e-06,4.08734534274716e-05,-0.292959966636557,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",760,"Nicotinate and nicotinamide metabolism [PATH:ko00760","gabD"," succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase ","EC:1.2.1.16"
"157","K00137","K00137",-0.0372170122024627,0.408515352959797,1.92527064000192e-05,0.000115738652336866,-0.296985881408828,"A09100","Metabolism",9106,"Metabolism of other amino acids",410,"beta-Alanine metabolism [PATH:ko00410","prr"," aminobutyraldehyde dehydrogenase ","EC:1.2.1.19"
"160","K00138","K00138",-0.0241408332882176,0.449803283136616,0.0190415363552576,0.0482470577278987,-0.219194697001537,"A09100","Metabolism",9101,"Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620","aldB"," aldehyde dehydrogenase ","EC:1.2.1.-"
"162","K00145","K00145",-0.035717359865812,0.415351452388489,7.71147627833813e-05,0.000391737348953284,-0.242486730087612,"A09100","Metabolism",9105,"Amino acid metabolism",220,"Arginine biosynthesis [PATH:ko00220","argC"," N-acetyl-gamma-glutamyl-phosphate reductase ","EC:1.2.1.38"
"163","K00147","K00147",-0.0440789743111176,0.416316194093972,9.30095405393683e-05,0.000459583047199276,-0.267765293365946,"A09100","Metabolism",9105,"Amino acid metabolism",330,"Arginine and proline metabolism [PATH:ko00330","proA"," glutamate-5-semialdehyde dehydrogenase ","EC:1.2.1.41"
"165","K00150","K00150",0.00898256877151331,0.571451182562294,0.000824954413769065,0.00295549502970793,0.0711888725189058,"A09100","Metabolism",9101,"Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis [PATH:ko00010","gap2"," glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ","EC:1.2.1.59"
"167","K00151","K00151",-0.0251641374644322,0.431235773828366,0.00130727501747541,0.00442094711433803,-0.251135774618511,"A09100","Metabolism",9105,"Amino acid metabolism",350,"Tyrosine metabolism [PATH:ko00350","hpaE, hpcC"," 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase ","EC:1.2.1.60"
"168","K00156","K00156",-0.114354228084824,0.358495756643905,3.88409304719062e-11,4.72791794019139e-10,-0.420302933771085,"A09100","Metabolism",9101,"Carbohydrate metabolism",620,"Pyruvate metabolism [PATH:ko00620","poxB"," pyruvate dehydrogenase (quinone) ","EC:1.2.5.1"
"169","K00163","K00163",-0.0169168523893754,0.399195797343946,2.27582552558836e-06,1.69334435442794e-05,-0.237058455422625,"A09100","Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020","aceE"," pyruvate dehydrogenase E1 component ","EC:1.2.4.1"
"172","K00169","K00169",0.0492244829467185,0.647695925473703,5.2891071615975e-12,7.05722856209308e-11,0.279320717487497,"A09100","Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640","porA"," pyruvate ferredoxin oxidoreductase alpha subunit ","EC:1.2.7.1"
"180","K00170","K00170",0.0421988691341762,0.621776029183437,1.29158134291096e-08,1.24752972866318e-07,0.361776348762886,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","porB"," pyruvate ferredoxin oxidoreductase beta subunit ","EC:1.2.7.1"
"188","K00171","K00171",0.0513150114622032,0.669685253018586,2.2160362124181e-15,4.17323562213501e-14,0.531379296573658,"A09100","Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020","porD"," pyruvate ferredoxin oxidoreductase delta subunit ","EC:1.2.7.1"
"196","K00172","K00172",0.025007929088749,0.596967846967847,5.93941615255098e-06,4.02700153795924e-05,0.126918652012694,"A09100","Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism [PATH:ko00640","porC, porG"," pyruvate ferredoxin oxidoreductase gamma subunit ","EC:1.2.7.1"
"204","K00174","K00174",-0.0807338988332845,0.381894511524141,3.47442234982509e-08,3.20709983200041e-07,-0.379558197374547,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","korA, oorA, oforA"," 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha ","EC:1.2.7.3"
"209","K00175","K00175",-0.10200896837052,0.361325916881472,9.40270084015538e-11,1.10418740754772e-09,-0.441550197336976,"A09100","Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020","korB, oorB, oforB"," 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta ","EC:1.2.7.3"
"214","K00176","K00176",-0.0862769673871992,0.38933357451876,2.36280494947394e-07,1.96924064157358e-06,-0.356756405395615,"A09100","Metabolism",9102,"Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720","korD, oorD"," 2-oxoglutarate ferredoxin oxidoreductase subunit delta ","EC:1.2.7.3"
"216","K00177","K00177",-0.0390118468567296,0.430840078988227,0.00123851498743299,0.00420892889198657,-0.21471831982901,"A09100","Metabolism",9102,"Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720","korC, oorC"," 2-oxoglutarate ferredoxin oxidoreductase subunit gamma ","EC:1.2.7.3"
"218","K00179","K00179",-0.0568706536426423,0.411443494776828,3.53872747649309e-05,0.000197874042775564,-0.292876227132163,"A09190","Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","iorA"," indolepyruvate ferredoxin oxidoreductase, alpha subunit ","EC:1.2.7.8"
"219","K00180","K00180",-0.0600337304028625,0.413501107945552,5.35401621128972e-05,0.00028575345496922,-0.301253819576883,"A09190","Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","iorB"," indolepyruvate ferredoxin oxidoreductase, beta subunit ","EC:1.2.7.8"
"220","K00187","K00187",0.0041642812030538,0.589460950572062,8.73359287697295e-07,6.84062975481437e-06,0.10514616118634,"A09100","Metabolism",9105,"Amino acid metabolism",280,"Valine, leucine and isoleucine degradation [PATH:ko00280","vorB"," 2-oxoisovalerate ferredoxin oxidoreductase beta subunit ","EC:1.2.7.7"
"221","K00188","K00188",0.00793630924407709,0.563009692639322,2.95836768781574e-05,0.000169404190981801,0.12443059765405,"A09100","Metabolism",9105,"Amino acid metabolism",280,"Valine, leucine and isoleucine degradation [PATH:ko00280","vorD"," 2-oxoisovalerate ferredoxin oxidoreductase delta subunit ","EC:1.2.7.7"
"222","K00196","K00196",0.0373853909429826,0.616236301421487,5.53901736922485e-08,5.02921031801157e-07,0.353256920549252,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","cooF"," anaerobic carbon-monoxide dehydrogenase iron sulfur subunit",""
"225","K00197","K00197",-9.56819273580411e-05,0.449230467748986,0.0167474720418004,0.0429970558803669,-0.0689936445144005,"A09100","Metabolism",9102,"Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720","cdhE, acsC"," acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma ","EC:2.1.1.245"
"227","K00198","K00198",0.00879844313372648,0.577933040896004,0.000273076192972063,0.00114829918317444,-0.034349240145855,"A09100","Metabolism",9102,"Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720","cooS, acsA"," anaerobic carbon-monoxide dehydrogenase catalytic subunit ","EC:1.2.7.4"
"230","K00200","K00200",0.00863727356690358,0.579244486651894,0.000208040402729899,0.000910217757818779,0.0486849724832792,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdA, fmdA"," formylmethanofuran dehydrogenase subunit A ","EC:1.2.7.12"
"231","K00201","K00201",0.00500047060348089,0.578547310028792,1.72692557325298e-05,0.000104951695787623,0.0882132278264818,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdB, fmdB"," formylmethanofuran dehydrogenase subunit B ","EC:1.2.7.12"
"232","K00202","K00202",0.00445518820515107,0.563914137988212,0.000281281506627508,0.00117626811862413,0.10270147717432,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdC, fmdC"," formylmethanofuran dehydrogenase subunit C ","EC:1.2.7.12"
"233","K00203","K00203",0.00535257925122005,0.576354030057734,7.38255475096914e-06,4.90559863180918e-05,0.109452689655442,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdD, fmdD"," formylmethanofuran dehydrogenase subunit D ","EC:1.2.7.12"
"234","K00204","K00204",0.00855200101944293,0.594039705150816,1.05301447220384e-05,6.72346510396411e-05,0.0613770836876437,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdH"," 4Fe-4S ferredoxin",""
"235","K00205","K00205",0.00853513727834485,0.582933869970907,7.95942139089252e-06,5.24704216156541e-05,0.10036313226225,"A09100","Metabolism",9102,"Energy metabolism",680,"Methane metabolism [PATH:ko00680","fwdF, fmdF"," 4Fe-4S ferredoxin",""
"236","K00208","K00208",-0.0665586902061052,0.434039554409925,0.00206696191954148,0.00665230960266809,-0.301499794700462,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1004,"Lipid biosynthesis proteins [BR:ko01004","fabI"," enoyl-","acyl-carrier"
"240","K00209","K00209",0.0274022156290384,0.637784711858786,1.2040998486215e-10,1.390476468741e-09,0.225758586463592,"A09100","Metabolism",9103,"Lipid metabolism",61,"Fatty acid biosynthesis [PATH:ko00061","fabV, ter"," enoyl-","acyl-carrier"
"243","K00216","K00216",-0.00914937737707036,0.441376867302793,0.00608908309443468,0.0174039498263862,-0.172126468456428,"A09100","Metabolism",9109,"Metabolism of terpenoids and polyketides",1053,"Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053","entA"," 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase ","EC:1.3.1.28"
"244","K00226","K00226",-0.0750346022750988,0.395732525362155,1.11924329404545e-06,8.62853672798369e-06,-0.306459166245766,"A09100","Metabolism",9104,"Nucleotide metabolism",240,"Pyrimidine metabolism [PATH:ko00240","pyrD"," dihydroorotate dehydrogenase (fumarate) ","EC:1.3.98.1"
"245","K00228","K00228",-0.0440429473489355,0.421595893818116,0.000250054760144058,0.00106439464875226,-0.291644220144491,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",860,"Porphyrin metabolism [PATH:ko00860","CPOX, hemF"," coproporphyrinogen III oxidase ","EC:1.3.3.3"
"246","K00230","K00230",-0.0771604678515066,0.39491098750358,9.20287914540907e-07,7.18791479968817e-06,-0.317800358894303,"A09100","Metabolism",9108,"Metabolism of cofactors and vitamins",860,"Porphyrin metabolism [PATH:ko00860","hemG"," menaquinone-dependent protoporphyrinogen oxidase ","EC:1.3.5.3"
"247","K00239","K00239",0.0666533745078018,0.59138666546074,1.97345666537701e-05,0.000118293737911656,0.21954895999014,"A09100","Metabolism",9102,"Energy metabolism",720,"Carbon fixation pathways in prokaryotes [PATH:ko00720","sdhA, frdA"," succinate dehydrogenase / fumarate reductase, flavoprotein subunit ","EC:1.3.5.1"
"252","K00240","K00240",-0.107059446980235,0.308423401015994,0,0,-0.597251600467838,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","sdhB, frdB"," succinate dehydrogenase / fumarate reductase, iron-sulfur subunit ","EC:1.3.5.1"
"256","K00241","K00241",-0.0992478898006283,0.391926317852244,4.48384167794913e-07,3.64574861431684e-06,-0.336474763744887,"A09100","Metabolism",9102,"Energy metabolism",190,"Oxidative phosphorylation [PATH:ko00190","sdhC, frdC"," succinate dehydrogenase / fumarate reductase, cytochrome b subunit",""
"260","K00242","K00242",-0.0478120192235946,0.425782722079018,0.000524223740254737,0.00199118926156977,-0.281612323443101,"A09100","Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle) [PATH:ko00020","sdhD, frdD"," succinate dehydrogenase / fumarate reductase, membrane anchor subunit",""
"264","K00243","K00243",0.0406289935752656,0.565790862087158,0.00212262075556727,0.00680775824763218,0.151514449298312,"A09190","Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","K00243"," uncharacterized protein",""
"265","K00244","K00244",0.060183493480174,0.595607410422225,8.00735843613308e-06,5.27446727367437e-05,0.0295250001487133,"A09100","Metabolism",9102,"Energy metabolism",190,"Oxidative phosphorylation [PATH:ko00190","frdA"," fumarate reductase flavoprotein subunit ","EC:1.3.5.4"
"271","K00245","K00245",-0.0547187730511282,0.432000783852636,0.00149442518211118,0.00496209206094154,-0.289600880931418,"A09100","Metabolism",9101,"Carbohydrate metabolism",650,"Butanoate metabolism [PATH:ko00650","frdB"," fumarate reductase iron-sulfur subunit ","EC:1.3.5.4"
"277","K00246","K00246",-0.0523950084591062,0.427256214293251,0.000678212169356041,0.00249526934249156,-0.297437750589342,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","frdC"," fumarate reductase subunit C",""
"283","K00247","K00247",-0.0626698903695969,0.415977027088138,8.65556843909765e-05,0.000433350949031431,-0.296535807512594,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","frdD"," fumarate reductase subunit D",""
