Var1	Var2	cor	p	direction	new_column
Aspergillus ustus	s__Pseudobutyrivibrio_xylanivorans	0.271406418343133	0.03	1	Bacter_fungi
s__Roseburia_hominis	s__Pseudobutyrivibrio_xylanivorans	0.414385806889258	0.03	1	Bacter_Bacter
s__Roseburia_intestinalis	s__Pseudobutyrivibrio_xylanivorans	0.657574797132557	0.01	1	Bacter_Bacter
s__Roseburia_sp._NSJ-69	s__Pseudobutyrivibrio_xylanivorans	0.830678953594036	0	1	Bacter_Bacter
s__Ruminococcus_albus	s__Pseudobutyrivibrio_xylanivorans	0.293213504348244	0.03	1	Bacter_Bacter
s__Starkeya_novella	s__Pseudobutyrivibrio_xylanivorans	-0.307701496715831	0.02	-1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Pseudobutyrivibrio_xylanivorans	-0.347423923664778	0.01	-1	Bacter_Bacter
s__Roseburia_intestinalis	s__Roseburia_hominis	0.39039746595606	0.01	1	Bacter_Bacter
s__Roseburia_sp._NSJ-69	s__Roseburia_hominis	0.472096307775521	0.02	1	Bacter_Bacter
s__Roseburia_sp._NSJ-69	s__Roseburia_intestinalis	0.887256133338603	0	1	Bacter_Bacter
s__Vescimonas_coprocola	s__Roseburia_intestinalis	-0.240577128144118	0.01	-1	Bacter_Bacter
s__Ruminococcus_albus	s__Roseburia_sp._NSJ-69	0.230430057366318	0.03	1	Bacter_Bacter
s__Ruminococcus_champanellensis	s__Roseburia_sp._NSJ-69	-0.246994463822324	0.03	-1	Bacter_Bacter
s__Starkeya_novella	s__Roseburia_sp._NSJ-69	-0.274662549482555	0.01	-1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Roseburia_sp._NSJ-69	-0.431273660861984	0	-1	Bacter_Bacter
s__Ruminococcus_champanellensis	s__Ruminococcus_albus	0.481450470669531	0.01	1	Bacter_Bacter
s__Ruminococcus_champanellensis	s__Ruminococcus_bicirculans	0.263066602187333	0.01	1	Bacter_Bacter
s__Starkeya_novella	s__Ruminococcus_champanellensis	0.205698968017353	0.03	1	Bacter_Bacter
s__Vescimonas_coprocola	s__Ruminococcus_champanellensis	0.289444839244534	0.01	1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Ruminococcus_champanellensis	0.431074271275361	0.01	1	Bacter_Bacter
s__Vescimonas_fastidiosa	s__Vescimonas_coprocola	0.629694472259798	0.01	1	Bacter_Bacter
