donor_origin_clust,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,S1_or_S4
Donor_origin_clust1,4488,4972.283969,18.48050692,0.94588893,3.515508697,483.392824,7,0.4647158,0.418056937,0.00411776,0.195449466,0.041750643,0.12774532,0.222811453,664902,0.12774532,0.05411107,0.762689526,0.994559054,2.061420265,0.06837918,0.146834437,S4
Donor_origin_clust1,6195,6360.19708,19.23077437,0.948000014,4.002141431,742.4818606,7,0.106097488,0.458356805,0.003104241,0.240133638,0.077904075,0.147386106,0.244408642,459870,0.147386106,0.051999986,0.714247804,0.979049443,2.061422438,0.136105638,0.178771555,S4
Donor_origin_clust1,5844,6058.628931,4.028180116,0.751748936,2.549155675,631.418938,2,0.036830956,0.293912773,0.000689285,0.251965651,0.03850928,0.473641383,0.604958711,3128030,0.473641383,0.248251064,0.824938342,0.99322123,2.061421538,0.073788017,0.131983266,S1
Donor_origin_clust1,3666,4051.233288,7.118058475,0.859512253,2.812905461,383.1867703,3,0.332551433,0.34275066,0.001941642,0.215089635,0.032081282,0.309011531,0.478925539,1691645,0.309011531,0.140487747,0.813233474,0.997046786,2.061421866,0.042023245,0.06572385,S1
Donor_origin_clust1,4220,4570.529412,8.703241022,0.885100275,2.906693897,436.6330914,3,0.258990246,0.348207537,0.002062379,0.213829217,0.032474091,0.226587941,0.428485217,1558560,0.226587941,0.114899725,0.844589918,0.996630229,2.061421884,0.047111177,0.05326567,S4
Donor_origin_clust1,6366,6459.333333,8.598002889,0.883693921,3.103936115,635.0608209,4,0.015599227,0.354382121,0.001350613,0.250274271,0.032434875,0.294214042,0.389181141,4216287,0.294214042,0.116306079,0.859407848,0.992863036,2.061421436,0.056952082,0.055685638,S4
Donor_origin_clust1,5965,6115.043299,14.31726917,0.930154278,3.460107902,637.1061514,6,0.047589639,0.398003393,0.002400213,0.245027615,0.036221333,0.192138813,0.287764198,1425396,0.192138813,0.069845722,0.814787721,0.992277725,2.061421446,0.069070282,0.074084588,S1
Donor_origin_clust1,4806,5148.396522,8.22822881,0.878467162,2.854969535,507.6007127,3,0.132596585,0.336765436,0.001712074,0.229910265,0.032223515,0.222760065,0.421636645,1463044,0.222760065,0.121532838,0.882751033,0.995693389,2.061422311,0.045670378,0.050664743,S4
Donor_origin_clust1,5178,5532.670262,8.104024084,0.876604513,2.951429908,569.2587581,3,0.049864796,0.345108724,0.001565088,0.232511362,0.040881764,0.240563323,0.446583699,1221378,0.240563323,0.123395487,0.768850802,0.994370599,2.061422412,0.074775298,0.141941811,S1
Donor_origin_clust1,3692,4136.700704,22.56962517,0.955692662,3.644235088,437.9166107,8,0.325367426,0.443665569,0.006113116,0.225182314,0.046104371,0.105514052,0.188422289,211870,0.105514052,0.044307338,0.687410576,0.994198174,2.061422636,0.074361833,0.069916568,S4
Donor_origin_clust1,1158,1478.846491,4.520785339,0.778799495,2.529017544,116.3843963,2,0.591277298,0.358499623,0.00390396,0.120804414,0.055026776,0.453385056,0.518147962,1105297,0.453385056,0.221200505,0.863241665,0.998097765,2.061422018,0.034235115,0.027392276,S1
Donor_origin_clust1,3808,4252.755525,10.23575634,0.902303263,3.099153736,414.7819522,4,0.189094313,0.375889216,0.002687961,0.211162556,0.038829551,0.246613332,0.36522148,992958,0.246613332,0.097696737,0.867152,0.996113398,2.061421375,0.074587172,0.048675285,S4
Donor_origin_clust1,4837,5145.789634,7.177005498,0.860666123,2.952729434,535.2436901,4,0.178351545,0.348033008,0.001483772,0.250404416,0.034615036,0.337790205,0.429584551,1520087,0.337790205,0.139333877,0.869804884,0.994922042,2.061422411,0.055142873,0.057307273,S1
Donor_origin_clust2,3863,4548.140927,7.171726994,0.860563571,2.440085719,366.4979063,3,0.378718165,0.29543853,0.001856517,0.217663305,0.019725906,0.256675105,0.460042829,3556644,0.256675105,0.139436429,0.915515921,0.998306199,2.061420638,0.030943596,0.049756365,S4
Donor_origin_clust2,4327,4927.879747,5.404817155,0.814979865,2.189053718,407.4047101,2,0.439643159,0.261453544,0.001249091,0.216247016,0.018961026,0.317200609,0.562299078,5295936,0.317200609,0.185020135,0.938498814,0.998424157,2.061421994,0.032352697,0.036883462,S1
Donor_origin_clust1,5148,5584.490364,7.261195876,0.862281638,2.891073386,547.0132806,3,0.027479189,0.338281114,0.001410489,0.214829647,0.038406361,0.296413925,0.484425064,1981766,0.296413925,0.137718362,0.717918528,0.994090889,2.061421701,0.073002118,0.049994421,S4
Donor_origin_clust1,3990,4704.426549,7.354087369,0.864021197,2.587895506,399.7784302,3,0.337713915,0.312112524,0.00184313,0.194189137,0.030996819,0.239751032,0.446626393,2070371,0.239751032,0.135978803,0.911065179,0.99753807,2.061422273,0.048107904,0.064803398,S1
